feature,importance
gw_lag_1,0.20255809
gw_lag_2,0.16939658
gw_lag_3,0.08411273
weighted_groundwater_idw,0.07365589
average_groundwater_within_10km,0.070262015
nearest_piezometer_groundwater,0.070189334
pumping_data,0.050151408
nearby_groundwater_std_10km,0.050013673
distance_to_stream_km,0.044531364
distance_to_canal_km,0.027619673
