model,rmse,mae,r2,mape
IDW baseline,1.294358003877307,0.5603372619224657,0.9474225457022871,0.17059435620782584
XGBoost (no spatial),1.5874788419195942,0.6919549850031619,0.9209127237573775,0.1831308081139568
XGBoost + spatial,1.2135166577870087,0.6257597487782173,0.9537850793385303,0.17125856553707297
Residual model,2.268194046119661,1.3015445273474489,0.8385451335971627,0.41409885828529636
Residual + KNN (final),2.3947840983394584,1.497758625927622,0.8200203268399463,0.3855596294337173
